k,x1,x2,f,grad_norm,error
0,1.0,3.0,305.0,214.41082062246764,3.2015621187164243
1,1.6666666666666667,0.2777777777777781,3.160493827160493,9.481481481481483,1.3517250067329376
2,2.111111111111111,0.35185185185185186,0.624295076969974,2.8093278463648828,0.9011500044886251
3,2.4074074074074074,0.4012345679012346,0.123317546068143,0.8323934359599653,0.6007666696590834
4,2.6049382716049383,0.43415637860082307,0.024359021445559112,0.246635092136286,0.4005111131060556
5,2.736625514403292,0.45610425240054875,0.0048116585571474895,0.07307706433667835,0.2670074087373705
6,2.8244170096021946,0.47073616826703246,0.0009504510730167912,0.021652463507164637,0.1780049391582472
7,2.88294467306813,0.48049077884468827,0.00018774342183047635,0.00641554474286242,0.11866995943883131
8,2.921963115378753,0.48699385256312555,3.708512036157586e-05,0.0019009021460344717,0.07911330629255435
9,2.947975410252502,0.49132923504208365,7.325455873891444e-06,0.0005632302654905392,0.0527422041950361
10,2.965316940168335,0.4942194900280558,1.4470036294106556e-06,0.0001668830416270896,0.03516146946335739
11,2.976877960112223,0.49614632668537056,2.858278774144578e-07,4.944682714965641e-05,0.023440979642238402
12,2.9845853067414825,0.4974308844569137,5.645982763741725e-08,1.4650911746893736e-05,0.015627319761491832
13,2.989723537827655,0.4982872563046092,1.1152558545662668e-08,4.341010888231679e-06,0.01041821317432788
14,2.9931490252184365,0.4988581708697395,2.202974527538495e-09,1.2862254492532035e-06,0.006945475449552059
15,2.9954326834789593,0.4992387805798265,4.3515546222920565e-10,3.8110383566401404e-07,0.004630316966366403
